date,sheet,items
2018-04-20,2018,战神God of War
2018-04-21,2018,战神God of War
2018-04-22,2018,心灵砒霜 | 邮件9 | 冒险岛Online
2018-04-23,2018,战神God of War | 堡垒之夜
2018-04-24,2018,发布会彩排 | 搜狐视频发布
2018-04-25,2018,Playstation 媒体体验会 | 堡垒之夜
2018-04-26,2018,堡垒之夜
2018-04-27,2018,战神God of War
2018-04-28,2018,嘉年华红毯
2018-04-29,2018,嘉年华第一天
2018-04-30,2018,嘉年华主机区活动 | 粉丝见面会
2018-05-01,2018,长安福特翼博 | 主机区逛逛
2018-05-02,2018,休息
2018-05-03,2018,任天堂labo
2018-05-04,2018,任天堂labo
2018-05-05,2018,2018核聚变
2018-05-06,2018,心灵砒霜 | 邮件9
2018-05-07,2018,休息
2018-05-08,2018,杀戮尖塔/Slay the Spire
2018-05-09,2018,艾兰岛/ Ylands
2018-05-10,2018,VR游戏 | 节奏光剑、拆弹、冰湖钓鱼、Rec Room
2018-05-11,2018,Unity Beijing 2018 开发者大会
2018-05-12,2018,VR游戏 | 节奏光剑 | Tilt Brush
2018-05-13,2018,心灵砒霜 | 邮件15
2018-05-14,2018,聊斋 | 唱歌
2018-05-15,2018,
2018-05-16,2018,我们也在这里/ We Were Here Too+DLC
2018-05-17,2018,
2018-05-18,2018,传奇法师/ Wizard of Legend
2018-05-19,2018,急性肠胃炎，请假
2018-05-20,2018,生病卧床闲聊
2018-05-21,2018,传奇法师/ Wizard of Legend
2018-05-22,2018,房产达人/ House Flipper
2018-05-23,2018,探望依依
2018-05-24,2018,黑暗之魂重制/ Dark Souls Remastered
2018-05-25,2018,黑暗之魂重制/ Dark Souls Remastered
2018-05-26,2018,黑暗之魂重制/ Dark Souls Remastered
2018-05-27,2018,聊斋 | 心灵砒霜 | 邮件10
2018-05-28,2018,黑暗之魂重制/ Dark Souls Remastered
2018-05-29,2018,黑暗之魂重制/ Dark Souls Remastered
2018-05-30,2018,女巫来了/Witch It
2018-05-31,2018,木筏求生/ Raft
2018-06-01,2018,木筏求生/ Raft
2018-06-02,2018,观影：巴霍巴利王
2018-06-03,2018,聊斋 | 心灵砒霜 | 邮件26
2018-06-04,2018,休息
2018-06-05,2018,孤帆远航/ FAR：Lone Sails
2018-06-06,2018,大周庆典 | 跳舞弹钢琴
2018-06-07,2018,战斗厨师旅团/ Battle Chef Brigade
2018-06-08,2018,间谍派对/ Spy Party
2018-06-09,2018,Just Shapes & Beats
2018-06-10,2018,E3前准备
2018-06-11,2018,酒店闲聊
2018-06-12,2018,索尼展前发布会
2018-06-13,2018,E3
2018-06-14,2018,休息
2018-06-15,2018,回程
2018-06-16,2018,Golf With Your Friends
2018-06-17,2018,聊斋 | 心灵砒霜 | 邮件10
2018-06-18,2018,回家过节
2018-06-19,2018,休息
2018-06-20,2018,郡主上线
2018-06-21,2018,看日记
2018-06-22,2018,喜剧之夜/ Comedy Night | 手部模拟器/ Hand Simulator
2018-06-23,2018,VR游戏 | 节奏光剑 | Accounting | Job Simulator
2018-06-24,2018,聊斋 | 心灵砒霜 | 邮件14
2018-06-25,2018,一起玩农场/Farm Together
2018-06-26,2018,一起玩农场/Farm Together
2018-06-27,2018,一起玩农场/Farm Together | 唱歌
2018-06-28,2018,聊天
2018-06-29,2018,一起玩农场/Farm Together
2018-06-30,2018,一起玩农场/Farm Together | 逆水寒
2018-07-01,2018,聊斋 | 心灵砒霜 | 邮件13
2018-07-02,2018,VR游戏 | 乒乓球 | 聊天
2018-07-03,2018,休息
2018-07-04,2018,休息
2018-07-05,2018,休息
2018-07-06,2018,蒸汽世界/ SteamWorld Dig
2018-07-07,2018,蒸汽世界/ SteamWorld Dig | 极限巅峰/ Steep | 逆水寒
2018-07-08,2018,聊斋 | 心灵砒霜 | 邮件12
2018-07-09,2018,休息
2018-07-10,2018,极限巅峰/ Steep
2018-07-11,2018,我被男神捅死了
2018-07-12,2018,休息
2018-07-13,2018,我被男神捅死了
2018-07-14,2018,来访者/ Visitor
2018-07-15,2018,聊斋 | 心灵砒霜 | 邮件19
2018-07-16,2018,休息
2018-07-17,2018,八方旅人/ Octopath Traveler
2018-07-18,2018,八方旅人/ Octopath Traveler
2018-07-19,2018,八方旅人/ Octopath Traveler
2018-07-20,2018,八方旅人/ Octopath Traveler
2018-07-21,2018,八方旅人/ Octopath Traveler | 绝地救生/PLAYERUNKNOWN’S BATTLEGROUNDS
2018-07-22,2018,聊斋 | 心灵砒霜 | 邮件13
2018-07-23,2018,八方旅人/ Octopath Traveler
2018-07-24,2018,八方旅人/ Octopath Traveler
2018-07-25,2018,八方旅人/ Octopath Traveler
2018-07-26,2018,八方旅人/ Octopath Traveler
2018-07-27,2018,太鼓达人NS
2018-07-28,2018,炸弹鸡/Bomb Chicken
2018-07-29,2018,聊斋 | 心灵砒霜 | 邮件12
2018-07-30,2018,波西亚时光
2018-07-31,2018,炸弹鸡/Bomb Chicken | 逆水寒
2018-08-01,2018,
2018-08-02,2018,CJ展前索尼发布会
2018-08-03,2018,CJ索尼行
2018-08-04,2018,
2018-08-05,2018,
2018-08-06,2018,无人深空/ No Man's Sky
2018-08-07,2018,休息
2018-08-08,2018,煮糊了2 /Overcooked 2
2018-08-09,2018,煮糊了2 /Overcooked 2 | 声控大师/ One Hand Clapping
2018-08-10,2018,我的世界/MC 第一天
2018-08-11,2018,怪物猎人世界/MONSTER HUNTER WORLD 腾讯WG | 我的世界/MC 第二天
2018-08-12,2018,聊斋 | 心灵砒霜 | 邮件14
2018-08-13,2018,我的世界/MC 第三天
2018-08-14,2018,我的世界/MC 第四天
2018-08-15,2018,我的世界/MC 第五天 | 幸福列车关注留守儿童
2018-08-16,2018,休息
2018-08-17,2018,我的世界/MC 第六天 建筑比赛 | 无人深空/ No Man's Sky
2018-08-18,2018,我的世界/MC 第七天 MC歌会
2018-08-19,2018,聊斋 | 心灵砒霜 | 邮件21
2018-08-20,2018,星界边境/ Starbound
2018-08-21,2018,我的世界/MC 第八天
2018-08-22,2018,过山车之星/ Planet Coaster
2018-08-23,2018,休息
2018-08-24,2018,流星蝴蝶剑 | 我的世界/MC 第九天
2018-08-25,2018,我的世界/MC 第十天
2018-08-26,2018,心灵砒霜 | 邮件33
2018-08-27,2018,PS4 PRO 限定版开箱
2018-08-28,2018,休息
2018-08-29,2018,休息
2018-08-30,2018,休息
2018-08-31,2018,休息
2018-09-01,2018,休息
2018-09-02,2018,休息
2018-09-03,2018,休息
2018-09-04,2018,过山车之星/ Planet Coaster
2018-09-05,2018,双点医院/ Two Point Hospital
2018-09-06,2018,Dota 2
2018-09-07,2018,休息
2018-09-08,2018,甜甜圈都市/ DonutCounty | 双点医院/ Two Point Hospital
2018-09-09,2018,聊斋 | 心灵砒霜 | 邮件16
2018-09-10,2018,眩晕症
2018-09-11,2018,过山车之星/ Planet Coaster
2018-09-12,2018,极限巅峰/ Steep
2018-09-13,2018,奇异小队/ Strange Brigade
2018-09-14,2018,奇异小队/ Strange Brigade
2018-09-15,2018,奇异小队/ Strange Brigade | 超级情圣2 / Super Seducer 2
2018-09-16,2018,心灵砒霜 | 邮件30
2018-09-17,2018,女巫来了/ Witch It | 39天到火星/ 39 Days to Mars
2018-09-18,2018,武汉理工大学宣讲
2018-09-19,2018,
2018-09-20,2018,武汉大学宣讲
2018-09-21,2018,锈湖新章：悖论/ Rusty lake:Paradox
2018-09-22,2018,钓鱼模拟器/ Ultimate Fishing Simulator
2018-09-23,2018,心灵砒霜 | 邮件16
2018-09-24,2018,在家过中秋 | 晚上语音76
2018-09-25,2018,
2018-09-26,2018,钓鱼模拟器/ Ultimate Fishing Simulator
2018-09-27,2018,恐龙公园/ Parkasaurus
2018-09-28,2018,中国式家长
2018-09-29,2018,中国式家长
2018-09-30,2018,聊斋 | 心灵砒霜 | 邮件15
2018-10-01,2018,
2018-10-02,2018,老爷车/ Jalopy
