bvid,pubdate,live_date,duration,cover,title
BV1nN411t7oc,2023-10-19,2023-10-19,272:00,https://i0.hdslb.com/bfs/archive/03f41ff537ad130b379566723d5ec38ea20610f8.jpg,【女流】2023年10月19日录播《佩奇6》
BV1hw411w7Dx,2023-10-19,2023-10-18,223:36,https://i0.hdslb.com/bfs/archive/3623a33ed1330784663f18682775d4fa89f44ed6.jpg,【女流】2023年10月18日录播《我被美女包围了》
BV13j41147oc,2023-10-19,2023-10-18,231:23,https://i0.hdslb.com/bfs/archive/0510a35d4f568af7e2179bab5222666ca9c3a066.jpg,【女流】2023年10月18日录播《堕落之主》
BV1VM41197Ru,2023-10-18,2023-10-17,360:00,https://i0.hdslb.com/bfs/archive/2a8a249a8234290aff231f1f20be9a5c4e445700.jpg,【女流】2023年10月17日录播《堕落之主》P1
BV1E84y1d7U6,2023-10-18,2023-10-17,341:05,https://i0.hdslb.com/bfs/archive/de0caf1df5473fa94bf47c90d2a3f6e07c268e3d.jpg,【女流】2023年10月17日录播《堕落之主》P2
BV1xw411c7WC,2023-10-15,2023-10-15,32:20,https://i0.hdslb.com/bfs/archive/285d43289f0585da5b8c79c3e4c936bf4939ec53.jpg,【女流】2023年10月15日录播《重庆开学季》
BV1sw411C7hk,2023-10-15,2023-10-15,50:34,https://i0.hdslb.com/bfs/archive/0aa510411ba206004ef21f7de94677bca7808869.jpg,【女流】2023年10月15日录播《重庆开学季》
BV1TB4y1f7B1,2023-10-15,2023-10-14,212:44,https://i0.hdslb.com/bfs/archive/0510a35d4f568af7e2179bab5222666ca9c3a066.jpg,【女流】2023年10月14日录《堕落之主》
BV1Dw411c7fR,2023-10-15,2023-10-15,265:35,https://i0.hdslb.com/bfs/archive/7e44921ceb2c80695bc14994ace535e98beb7550.jpg,【女流】2023年10月15日录播《重庆开学季》
BV1534y1g7tF,2023-10-15,2023-10-14,212:45,https://i0.hdslb.com/bfs/archive/0510a35d4f568af7e2179bab5222666ca9c3a066.jpg,【女流】2023年10月14日录《堕落之主》
BV1T34y1g7dn,2023-10-14,2023-10-13,229:41,https://i0.hdslb.com/bfs/archive/0510a35d4f568af7e2179bab5222666ca9c3a066.jpg,【女流】2023年10月13日录《堕落之主》
BV1Nw411C7Mn,2023-10-14,2023-10-13,229:42,https://i0.hdslb.com/bfs/archive/0510a35d4f568af7e2179bab5222666ca9c3a066.jpg,【女流】2023年10月13日录《堕落之主》
BV1BH4y1R769,2023-10-14,2023-10-13,229:43,https://i0.hdslb.com/bfs/archive/0510a35d4f568af7e2179bab5222666ca9c3a066.jpg,【女流】2023年10月13日录《堕落之主》
BV1yw411r791,2023-10-12,2023-10-11,376:36,https://i0.hdslb.com/bfs/archive/7732ec2c70b813588a7566e95dd89fc6d13c3cbe.jpg,【女流】2023年10月11日录播《女鬼桥2》
BV1Hu411K7Wd,2023-10-12,2023-10-12,318:21,https://i0.hdslb.com/bfs/archive/0f6853c349d156887d2beb4fea70e920fb39e8d7.jpg,【女流】2023年10月12日录播《Headbangers》
BV1F34y1G7B9,2023-10-11,2023-10-10,39:16,https://i0.hdslb.com/bfs/archive/295fb8a9f3810cd3fe6440efd9a411741564acb8.jpg,女流-2023.10.10-糖豆人
BV15H4y1R7Hk,2023-10-11,2023-10-10,188:07,https://i0.hdslb.com/bfs/archive/cd5019ca0b4a3a794f0fb7d7180969dab98e0666.jpg,女流-2023.10.10-Goose Goose Duck
BV1gw411r7v9,2023-10-08,2023-10-08,211:47,https://i0.hdslb.com/bfs/archive/ef409d4eb24f6f686dbd50ada1a044434d77214d.jpg,P2-女流-2023.10.8-刺客信条 幻景
BV1Cw411w7EW,2023-10-08,2023-10-08,211:46,https://i0.hdslb.com/bfs/archive/ef409d4eb24f6f686dbd50ada1a044434d77214d.jpg,P1-女流-2023.10.8-刺客信条 幻景
BV1zh4y1B71Z,2023-10-07,2023-10-07,360:39,https://i0.hdslb.com/bfs/archive/ef409d4eb24f6f686dbd50ada1a044434d77214d.jpg,女流-2023.10.7-刺客信条 幻景
BV12C4y1R7KT,2023-10-06,2023-10-06,298:58,https://i0.hdslb.com/bfs/archive/ef409d4eb24f6f686dbd50ada1a044434d77214d.jpg,女流-2023.10.6-刺客信条 幻景
BV1pC4y1V7dm,2023-10-05,2023-10-05,83:37,https://i0.hdslb.com/bfs/archive/ef409d4eb24f6f686dbd50ada1a044434d77214d.jpg,P1-女流-2023.10.5-刺客信条 幻景
BV15N411J79U,2023-10-05,2023-10-05,231:39,https://i0.hdslb.com/bfs/archive/ef409d4eb24f6f686dbd50ada1a044434d77214d.jpg,P2-女流-2023.10.5-刺客信条 幻景
BV1u8411y7Aq,2023-10-04,2023-10-04,281:32,https://i0.hdslb.com/bfs/archive/b27c52c1ae3c34658cbb04625fc357adf20617e5.jpg,女流-2023.10.4-巴别塔圣歌
