tid,created_cst,reply_count,title,bearing,url
3915180136,2015-07-23 17:24,19,有没有一起玩的啊,,https://tieba.baidu.com/p/3915180136
3917125630,2015-07-24 13:22,1,为什么66粉丝群不允许任何人加入啊。,,https://tieba.baidu.com/p/3917125630
3917250868,2015-07-24 14:19,6,女流玩儿的那个造飞机的游戏叫什么啊,,https://tieba.baidu.com/p/3917250868
3917322846,2015-07-24 14:52,14,心疼66,,https://tieba.baidu.com/p/3917322846
3918716679,2015-07-25 01:23,9,可能给大家泼冷水了，其实风之旅,,https://tieba.baidu.com/p/3918716679
3920522387,2015-07-25 21:16,13,事到如今，我只好承认了,,https://tieba.baidu.com/p/3920522387
3921065129,2015-07-26 01:23,2,风之旅人全流程录像,,https://tieba.baidu.com/p/3921065129
3922905172,2015-07-26 21:39,14,找个小游戏，求帮助,,https://tieba.baidu.com/p/3922905172
3923980280,2015-07-27 11:22,5,昨天小杰自己带节奏，把自己带坑里了。,佐证 2015-07-26,https://tieba.baidu.com/p/3923980280
3925441219,2015-07-27 22:17,6,本人是小学生，大爱女流,,https://tieba.baidu.com/p/3925441219
3926499173,2015-07-28 11:46,6,问一下女流一般斗鱼几点直播？,,https://tieba.baidu.com/p/3926499173
3927250489,2015-07-28 17:15,1,求女流哼唱的头发乌黑黑MP3！！！,,https://tieba.baidu.com/p/3927250489
3927408412,2015-07-28 18:26,7,话说给66推荐游戏只能微信吗,,https://tieba.baidu.com/p/3927408412
3927500854,2015-07-28 19:10,7,今天真是笑死了。,07-28 今天高能,https://tieba.baidu.com/p/3927500854
3927603508,2015-07-28 20:01,4,大神们，我想问问66直播录像在哪里有啊？,佐证 2015-07-28；07-28 设计大赛,https://tieba.baidu.com/p/3927603508
3928009915,2015-07-28 22:52,6,风之旅人完整版密码多少，有人知道么,,https://tieba.baidu.com/p/3928009915
3928084172,2015-07-28 23:23,7,求求求,佐证 2015-07-28；07-28 皮卡丘像素画,https://tieba.baidu.com/p/3928084172
3928677281,2015-07-29 09:47,11,女流教过的单词有没有人知道 啊,,https://tieba.baidu.com/p/3928677281
3929043470,2015-07-29 12:21,10,斗鱼吧喷子太多 这里如果有没弹幕的进来 看看我能帮你不,,https://tieba.baidu.com/p/3929043470
3930372131,2015-07-29 21:44,1,30号cj求带求组队,,https://tieba.baidu.com/p/3930372131
3930409765,2015-07-29 21:57,22,刚才的肌肉男是谁？！！！,,https://tieba.baidu.com/p/3930409765
3930456759,2015-07-29 22:14,11,有人看老佳的MC佳服吗？那个才,,https://tieba.baidu.com/p/3930456759
3930677198,2015-07-29 23:35,26,女流去CJ没人发照片吗？,,https://tieba.baidu.com/p/3930677198
3931677924,2015-07-30 12:19,28,没人看鸡哥直播吗,,https://tieba.baidu.com/p/3931677924
3931750135,2015-07-30 12:51,4,我发表了一篇图片贴，大伙来看看吧~,,https://tieba.baidu.com/p/3931750135
3931768952,2015-07-30 12:59,0,超管会玩,,https://tieba.baidu.com/p/3931768952
3933258826,2015-07-30 23:29,20,我说我的眼里只有你！,,https://tieba.baidu.com/p/3933258826
3935701792,2015-07-31 22:47,15,为什么现在露脸的女流和之前解说小游戏的声音风格完全不一样？,,https://tieba.baidu.com/p/3935701792
3937980814,2015-08-01 21:10,10,女流………,,https://tieba.baidu.com/p/3937980814
3938437377,2015-08-01 23:47,5,发图跑,,https://tieba.baidu.com/p/3938437377
3939967871,2015-08-02 15:53,28,6皇之舞--魔性之舞,,https://tieba.baidu.com/p/3939967871
3940318119,2015-08-02 18:32,47,新人,,https://tieba.baidu.com/p/3940318119
3940933887,2015-08-02 22:37,18,你们说像不像女流~,,https://tieba.baidu.com/p/3940933887
3941405686,2015-08-03 03:14,4,女流房间号！急！！！,,https://tieba.baidu.com/p/3941405686
3942526338,2015-08-03 14:48,6,66现在在哪直播呢 是在家吗,佐证 2015-08-03,https://tieba.baidu.com/p/3942526338
3942541266,2015-08-03 14:54,6,怎么跟66一起玩mc,佐证 2015-08-03；08-03 服务器,https://tieba.baidu.com/p/3942541266
3942615970,2015-08-03 15:23,6,求大神给我的世界下载地址,,https://tieba.baidu.com/p/3942615970
3942785089,2015-08-03 16:28,26,新人有一个问题，小杰和66到底在一起没,,https://tieba.baidu.com/p/3942785089
3943141046,2015-08-03 18:47,8,没人看到这个么？,,https://tieba.baidu.com/p/3943141046
3943205061,2015-08-03 19:14,7,女流玩单机吗？,,https://tieba.baidu.com/p/3943205061
3943756620,2015-08-03 22:44,7,【爱女流】终于找到你了,,https://tieba.baidu.com/p/3943756620
3945820445,2015-08-04 18:01,5,听说贴吧不能输入繁体字,,https://tieba.baidu.com/p/3945820445
3945881871,2015-08-04 18:27,9,小白的房间号是什么啊,,https://tieba.baidu.com/p/3945881871
3946283121,2015-08-04 21:16,6,"求告知,谢谢",,https://tieba.baidu.com/p/3946283121
3946536620,2015-08-04 22:47,10,去了cj的最大收获！！！！！！！！,,https://tieba.baidu.com/p/3946536620
3949013305,2015-08-05 21:18,5,我又来发游戏小视频了,,https://tieba.baidu.com/p/3949013305
3953058254,2015-08-07 11:24,1,66又要去上海参加什么活动,,https://tieba.baidu.com/p/3953058254
3954033568,2015-08-07 18:05,4,66直播mc用的材质包是什么？,,https://tieba.baidu.com/p/3954033568
3959265036,2015-08-09 19:18,2,有没有直播时候的歌单？,,https://tieba.baidu.com/p/3959265036
3959521884,2015-08-09 21:10,5,女流mc是哪个版本啊,,https://tieba.baidu.com/p/3959521884
3962781501,2015-08-11 02:50,14,女流日常单口相声-少女心,,https://tieba.baidu.com/p/3962781501
3964540770,2015-08-11 19:48,25,6则天好搞笑啊。。。。,,https://tieba.baidu.com/p/3964540770
3965863958,2015-08-12 10:50,5,大家可以告诉我 出现pdd的照片的是哪天的直播吗,,https://tieba.baidu.com/p/3965863958
3966808493,2015-08-12 17:37,20,怎么这么多弹幕骂66.。。。,,https://tieba.baidu.com/p/3966808493
3966825567,2015-08-12 17:44,8,女流教英语nice guy comes last是这句吗,,https://tieba.baidu.com/p/3966825567
3966957920,2015-08-12 18:45,30,女流怎么哭了啊,佐证 2015-08-12,https://tieba.baidu.com/p/3966957920
3967041155,2015-08-12 19:24,20,8.12  刚才发生什么事了 ？？,佐证 2015-08-12,https://tieba.baidu.com/p/3967041155
3967045061,2015-08-12 19:25,1,不明真相吃瓜群众表示哪位老司机知道刚刚怎么回事,,https://tieba.baidu.com/p/3967045061
3970115735,2015-08-13 22:47,11,毁词不倦盘点女流组成的新成语,佐证 2015-08-15,https://tieba.baidu.com/p/3970115735
3972918647,2015-08-15 00:53,0,【女流】她的故事——part1,,https://tieba.baidu.com/p/3972918647
3976784152,2015-08-16 18:00,14,【爱生活，爱女流】这里小心人 分享一下我的世界帆船模组~,,https://tieba.baidu.com/p/3976784152
3978292234,2015-08-17 10:39,55,女流我喜欢你！！表白向！,,https://tieba.baidu.com/p/3978292234
3978446908,2015-08-17 11:43,71,女流说她喜欢黄渤这样的男人，这是喜欢老男人么？,,https://tieba.baidu.com/p/3978446908
3978744921,2015-08-17 13:59,2,教了哪些英语啊？,佐证 2015-08-16,https://tieba.baidu.com/p/3978744921
3978826723,2015-08-17 14:36,1,八爪大咖：学霸女流专访 爆料喜欢黄渤！,,https://tieba.baidu.com/p/3978826723
3979264933,2015-08-17 17:38,6,我感觉66心中无数只草泥马奔腾而过。,佐证 2015-08-17,https://tieba.baidu.com/p/3979264933
3980655521,2015-08-18 09:23,13,对女流身体健康的建议。,,https://tieba.baidu.com/p/3980655521
3980688780,2015-08-18 09:40,0,【爱女流】女流自己注意身体呀,,https://tieba.baidu.com/p/3980688780
3982194172,2015-08-18 20:54,331,【斗鱼直播】解封专贴,,https://tieba.baidu.com/p/3982194172
3984090481,2015-08-19 16:15,3,这是什么游戏，好好玩,佐证 2015-08-19,https://tieba.baidu.com/p/3984090481
3986789539,2015-08-20 16:55,11,女流 我的世界用的什么材质包 求解,08-20 MC 材质包,https://tieba.baidu.com/p/3986789539
3987255755,2015-08-20 20:43,6,心疼发发,,https://tieba.baidu.com/p/3987255755
3987395000,2015-08-20 21:44,0,一图流,,https://tieba.baidu.com/p/3987395000
3987423137,2015-08-20 21:56,29,白袍输了游戏 赢得了66的心,,https://tieba.baidu.com/p/3987423137
3987442335,2015-08-20 22:04,2,风之旅人,,https://tieba.baidu.com/p/3987442335
3987595981,2015-08-20 23:08,10,小杰居然碰到五仁了,,https://tieba.baidu.com/p/3987595981
3987877139,2015-08-21 02:09,17,女流七夕风之旅人--来晚系列......,,https://tieba.baidu.com/p/3987877139
3988163173,2015-08-21 09:12,15,有一种友情叫小桀和女流...,,https://tieba.baidu.com/p/3988163173
3988412092,2015-08-21 11:10,4,新人报道 求笼罩,,https://tieba.baidu.com/p/3988412092
3989459508,2015-08-21 19:22,52,【女流MC】招人补充条件——请报名前确认符合条件,,https://tieba.baidu.com/p/3989459508
3993802826,2015-08-23 17:26,19,谁说女王大人没胸的，站出来！,,https://tieba.baidu.com/p/3993802826
3995110223,2015-08-24 08:57,8,这个男的是谁啊,,https://tieba.baidu.com/p/3995110223
3995171976,2015-08-24 09:33,8,征求女流正面照和侧面照,,https://tieba.baidu.com/p/3995171976
3996618232,2015-08-24 20:33,3,女流的her story的那个中英双字怎么弄的,,https://tieba.baidu.com/p/3996618232
3999137934,2015-08-25 21:37,2,女流日常-8月21日 paly bridge 部分剪辑,佐证 2015-08-21,https://tieba.baidu.com/p/3999137934
4000471630,2015-08-26 13:50,6,不好了 女流去日本了,,https://tieba.baidu.com/p/4000471630
4002861666,2015-08-27 14:30,18,女流去哪了？,,https://tieba.baidu.com/p/4002861666
4003321031,2015-08-27 18:00,7,游戏男女求背景音乐,,https://tieba.baidu.com/p/4003321031
4005262163,2015-08-28 15:15,18,pt这游戏不适合66,佐证 2015-08-27,https://tieba.baidu.com/p/4005262163
4005895108,2015-08-28 20:25,2,贴吧发斗鱼视频的录像了赞。。。,,https://tieba.baidu.com/p/4005895108
4008992989,2015-08-30 09:50,10,求中元节那天录像！,佐证 2015-08-28,https://tieba.baidu.com/p/4008992989
4009692782,2015-08-30 16:07,2,问一下，现在的bgm是什么,佐证 2015-08-30,https://tieba.baidu.com/p/4009692782
4009732699,2015-08-30 16:29,23,请问这个是女流66的贴吧吗？斗鱼直播那个！,,https://tieba.baidu.com/p/4009732699
4011388135,2015-08-31 12:21,12,【MC公共服】公共服资格小测试开始啦！！,08-31 MC 公共服,https://tieba.baidu.com/p/4011388135
4012820107,2015-09-01 00:35,1,今天的mc直播有人录嘛,佐证 2015-08-31；08-31 MC 直播,https://tieba.baidu.com/p/4012820107
4012865302,2015-09-01 01:17,10,模拟人版女流~~~~~~~~,,https://tieba.baidu.com/p/4012865302
4014001907,2015-09-01 16:10,8,有木有女流玩的坎贝拉太空计划汉,,https://tieba.baidu.com/p/4014001907
4014163837,2015-09-01 17:34,6,推荐66用橘黄色燃料桶,佐证 2015-09-01,https://tieba.baidu.com/p/4014163837
4016496912,2015-09-02 19:35,5,今天女流播的恐怖游戏叫什么。。谢谢各位,佐证 2015-09-02,https://tieba.baidu.com/p/4016496912
4019106425,2015-09-03 22:29,2,66直播我的世界用的哪些mod呀,,https://tieba.baidu.com/p/4019106425
4021203362,2015-09-04 21:20,10,请问一下怎么可以参加女流的心灵砒霜节目？,佐证 2015-09-09,https://tieba.baidu.com/p/4021203362
4027647158,2015-09-07 22:41,2,额想知道女流的星座,,https://tieba.baidu.com/p/4027647158
4029553720,2015-09-08 20:41,15,66原来有亲弟弟,佐证 2015-08-30,https://tieba.baidu.com/p/4029553720
4031399246,2015-09-09 17:14,2,求助攻！,,https://tieba.baidu.com/p/4031399246
4031696653,2015-09-09 19:49,6,新人报到,,https://tieba.baidu.com/p/4031696653
4034179506,2015-09-10 22:22,2,求助直播录像的问题？,,https://tieba.baidu.com/p/4034179506
4038446972,2015-09-12 23:24,1,有没有人录了深夜心灵砒霜的啊！,佐证 2015-09-12,https://tieba.baidu.com/p/4038446972
4039482219,2015-09-13 14:26,16,微博什么鬼，被房东赶出来了？,佐证 2015-09-13、2015-09-14,https://tieba.baidu.com/p/4039482219
4040350573,2015-09-13 22:26,7,求一首bgm,,https://tieba.baidu.com/p/4040350573
4040350945,2015-09-13 22:27,7,66之前介绍过一次科幻小说都有什么来的？,,https://tieba.baidu.com/p/4040350945
4043096967,2015-09-15 09:13,2,看到66的一篇专访，冒泡支持！！B-),,https://tieba.baidu.com/p/4043096967
4044238239,2015-09-15 19:27,11,优酷脑残吧，给女流户外直播弄个surface pro3,佐证 2015-09-16,https://tieba.baidu.com/p/4044238239
4044618654,2015-09-15 22:34,27,真的硬盘见了,,https://tieba.baidu.com/p/4044618654
4047412504,2015-09-17 10:00,1,请问女流玩的那个宫廷游戏叫什么,,https://tieba.baidu.com/p/4047412504
4050039703,2015-09-18 14:26,2,你们有女流大概4月份在斗鱼播潜伏之赤途的录像吗？,,https://tieba.baidu.com/p/4050039703
4050536500,2015-09-18 18:40,9,最后一次警告女流吧所有人！都T,,https://tieba.baidu.com/p/4050536500
4065175281,2015-09-25 23:29,4,66玩过的那个搭桥的游戏叫什么啊,,https://tieba.baidu.com/p/4065175281
4068275521,2015-09-27 16:21,40,怎么突然哭了,佐证 2015-09-27,https://tieba.baidu.com/p/4068275521
4068711422,2015-09-27 20:51,1,公共服怎么加！！！,,https://tieba.baidu.com/p/4068711422
4068922683,2015-09-27 22:40,1,跪求女流装备,,https://tieba.baidu.com/p/4068922683
4069587139,2015-09-28 11:19,5,大胸脯女骗子！,佐证 2015-09-28,https://tieba.baidu.com/p/4069587139
4072131815,2015-09-29 18:02,6,【爱生活爱女流】洒家过来水一下，各位吧主辛苦了,,https://tieba.baidu.com/p/4072131815
4072188846,2015-09-29 18:38,1,转贴:旅游照片未整理,佐证 2015-09-29,https://tieba.baidu.com/p/4072188846
4073378656,2015-09-30 11:33,27,【征集意见贴】我打算开展女流吧第一次歌会,歌会征集帖,https://tieba.baidu.com/p/4073378656
4073843348,2015-09-30 16:18,9,【爱生活爱女流】水一个-------大搬运之术,,https://tieba.baidu.com/p/4073843348
4076265658,2015-10-01 20:12,4,发签字那游戏视频有没有呀,佐证 2015-10-01,https://tieba.baidu.com/p/4076265658
4079326241,2015-10-03 13:24,3,4年前玩的一款物理游戏找不到了,,https://tieba.baidu.com/p/4079326241
4079579128,2015-10-03 16:00,12,直播时貌似暴露了自己名字,,https://tieba.baidu.com/p/4079579128
4079886537,2015-10-03 19:08,59,女流之心灵砒霜合集（优酷超清）,佐证 2015-09-27；心灵砒霜优酷合集索引（07-05～09-27 十一条）,https://tieba.baidu.com/p/4079886537
4080483905,2015-10-04 00:07,1,求个助攻,,https://tieba.baidu.com/p/4080483905
4081459083,2015-10-04 15:21,17,谁知道筷子兄弟那首歌？？什么时光时光慢些吧？？？在线等！！急,,https://tieba.baidu.com/p/4081459083
4082115723,2015-10-04 21:20,4,新人想问下吧里的老司机们~66,,https://tieba.baidu.com/p/4082115723
4084160046,2015-10-05 21:29,7,这几天66好像没有直播？,,https://tieba.baidu.com/p/4084160046
4085400761,2015-10-06 13:55,4,我就是单纯的来晒签名照的,,https://tieba.baidu.com/p/4085400761
4085807487,2015-10-06 17:35,9,秀波桌面,,https://tieba.baidu.com/p/4085807487
4088761241,2015-10-08 05:42,1,放下放不下 还不是没拿起来,,https://tieba.baidu.com/p/4088761241
4089160294,2015-10-08 11:36,10,大家准备好面对我6的短卷发了么？,佐证 2015-10-18,https://tieba.baidu.com/p/4089160294
4090475690,2015-10-08 23:51,3,女流现在还直播吗,,https://tieba.baidu.com/p/4090475690
4091003276,2015-10-09 10:47,5,求歌名,,https://tieba.baidu.com/p/4091003276
