date,weekday,status,archive_entries,entry_titles,evidence,bounded_recordings_possible,note
2015-04-29,周三,entry-with-replay,"2015-04-29-live-01(live,replay)",背部直播,room-snapshot 2015-04-29 16:05 thumb 2015-04-29 15:52 | room-snapshot LIVE@16:05 「FEZ是一个神奇的游戏?」,,
2015-04-30,周四,live-confirmed-no-entry,,,room-snapshot 2015-05-02 18:48 thumb 2015-04-30 18:01 | room-snapshot 2015-05-04 18:13 thumb 2015-04-30 18:01 | room-snapshot 2015-05-06 17:51 thumb 2015-04-30 18:01 | room-snapshot 2015-05-10 09:35 thumb 2015-04-30 18:01,,
2015-05-01,周五,hiatus,,,,,快照 05-10 仍停在 04-30；吧友称去日本
2015-05-02,周六,hiatus,,,,,快照 05-10 仍停在 04-30；吧友称去日本
2015-05-03,周日,hiatus,,,,,快照 05-10 仍停在 04-30；吧友称去日本
2015-05-04,周一,hiatus,,,,,快照 05-10 仍停在 04-30；吧友称去日本
2015-05-05,周二,hiatus,,,,,快照 05-10 仍停在 04-30；吧友称去日本
2015-05-06,周三,hiatus,,,,,快照 05-10 仍停在 04-30；吧友称去日本
2015-05-07,周四,hiatus,,,,,快照 05-10 仍停在 04-30；吧友称去日本
2015-05-08,周五,hiatus,,,,,快照 05-10 仍停在 04-30；吧友称去日本
2015-05-09,周六,hiatus,,,,,快照 05-10 仍停在 04-30；吧友称去日本
2015-05-10,周日,bounded-window,,,,ac1894602 雷曼传奇,
2015-05-11,周一,bounded-window,,,,ac1894602 雷曼传奇,
2015-05-12,周二,bounded-window,,,,ac1894602 雷曼传奇,
2015-05-13,周三,bounded-window,,,,ac1894602 雷曼传奇,
2015-05-14,周四,entry-no-replay,"2015-05-14-live-01(live,no-replay)",雷曼传奇,tieba 3763392456 19:16 66刚刚播雷曼传奇水下那关,,
2015-05-15,周五,live-confirmed-no-entry,,,room-snapshot 2015-05-17 09:04 thumb 2015-05-15 19:06,,
2015-05-16,周六,bounded-window,,,,优酷 逃脱方块：四季（2015-06-20-video-02 的母场）,
2015-05-17,周日,bounded-window,,,,优酷 逃脱方块：四季（2015-06-20-video-02 的母场）,
2015-05-18,周一,bounded-window,,,,优酷 逃脱方块：四季（2015-06-20-video-02 的母场）,
2015-05-19,周二,bounded-window,,,,优酷 逃脱方块：四季（2015-06-20-video-02 的母场）,
2015-05-20,周三,bounded-window,,,,优酷 逃脱方块：四季（2015-06-20-video-02 的母场）,
2015-05-21,周四,live-confirmed-no-entry,,,tieba 05-22 10:58 昨天在斗鱼看到66,优酷 逃脱方块：四季（2015-06-20-video-02 的母场）,
2015-05-22,周五,bounded-window,,,,优酷 逃脱方块：四季（2015-06-20-video-02 的母场）,
2015-05-23,周六,bounded-window,,,,优酷 逃脱方块：四季（2015-06-20-video-02 的母场）,
2015-05-24,周日,bounded-window,,,,优酷 逃脱方块：四季（2015-06-20-video-02 的母场）,
2015-05-25,周一,bounded-window,,,,优酷 逃脱方块：四季（2015-06-20-video-02 的母场）,
2015-05-26,周二,bounded-window,,,,优酷 逃脱方块：四季（2015-06-20-video-02 的母场）,
2015-05-27,周三,bounded-window,,,,优酷 逃脱方块：四季（2015-06-20-video-02 的母场）,
2015-05-28,周四,bounded-window,,,,优酷 逃脱方块：四季（2015-06-20-video-02 的母场）,
2015-05-29,周五,bounded-window,,,,优酷 逃脱方块：四季（2015-06-20-video-02 的母场）,
2015-05-30,周六,bounded-window,,,,优酷 逃脱方块：四季（2015-06-20-video-02 的母场）,
2015-05-31,周日,bounded-window,,,,优酷 逃脱方块：四季（2015-06-20-video-02 的母场）,
2015-06-01,周一,bounded-window,,,,优酷 逃脱方块：四季（2015-06-20-video-02 的母场）,
2015-06-02,周二,bounded-window,,,,优酷 逃脱方块：四季（2015-06-20-video-02 的母场）,
2015-06-03,周三,bounded-window,,,,优酷 逃脱方块：四季（2015-06-20-video-02 的母场）,
2015-06-04,周四,live-confirmed-no-entry,,,tieba 3807322250 06-05 09:58 昨天看66直播，大约七点,优酷 逃脱方块：四季（2015-06-20-video-02 的母场）,
2015-06-05,周五,bounded-window,,,,优酷 逃脱方块：四季（2015-06-20-video-02 的母场）,
