account,bvid,live_date,capture_window,title,pubdate,parts,duration_min,disposition,entries,note
bili-fan-kassytan,BV1eD4y1G7Kf,2023-02-21,2023-02-21 15:10→2023-02-21 19:21,【女流66】直播回放2023-02-21,2023-02-21 21:29,9,251,source-existing,2023-02-21-live-01,
bili-fan-kassytan,BV1as4y1Z7Dc,2023-02-23,2023-02-23 12:16→2023-02-23 15:57,【女流66】直播回放2023-02-23,2023-02-23 21:26,8,221,source-existing,2023-02-23-live-01,
bili-fan-kassytan,BV18M4y1Z7Lx,2023-02-23,2023-02-23 17:48→2023-02-23 19:39,【女流66】直播回放2023-02-23,2023-02-23 21:20,4,110,source-existing,2023-02-23-live-01,
bili-fan-kassytan,BV18M411w74L,2023-02-24,2023-02-24 13:02→2023-02-24 20:50,【女流66】直播回放2023-02-24,2023-02-24 23:26,15,468,source-existing,2023-02-24-live-01,
bili-fan-kassytan,BV1ND4y137Cz,2023-02-25,2023-02-25 15:12→2023-02-25 18:58,【女流66】直播回放2023-02-25,2023-02-26 09:11,7,195,already-attached,2023-02-25-live-01,本轮之前已挂
bili-fan-kassytan,BV1VT411q767,2023-02-26,2023-02-26 15:07→2023-02-26 20:28,【女流66】直播回放2023-02-26,2023-02-27 02:31,11,321,source-existing,2023-02-26-live-01,
bili-fan-zytau,BV1k24y1J71K,2023-02-26,,[2023-02-25][女流66][森林之子玩玩看]02,2023-02-26 17:10,1,168,already-attached,2023-02-25-live-01,本轮之前已挂
bili-fan-zytau,BV17A411275G,2023-02-26,,[2023-02-25][女流66][森林之子玩玩看]01,2023-02-26 04:23,1,28,already-attached,2023-02-25-live-01,本轮之前已挂
bili-fan-zytau,BV1uY411C7Gn,2023-02-26,2023-02-26 15:04→2023-02-26 20:28,[2023-02-26_15-04-52][女流66][【钻粉2.5倍】森林之子继续探],2023-02-27 10:35,1,323,source-existing,2023-02-26-live-01,
bili-fan-kassytan,BV1Ns4y1o7gH,2023-03-01,2023-03-01 16:28→2023-03-01 20:26,【女流66】直播回放2023-03-01,2023-03-02 05:52,8,235,source-existing,2023-03-01-live-01,
bili-fan-zytau,BV1iT411v7Wa,2023-03-01,2023-03-01 15:37→2023-03-01 20:26,[2023-03-01 15-37-20][女流66][3月份的新66],2023-03-02 10:25,2,287,already-attached,2023-03-01-live-01,本轮之前已挂
bili-fan-kassytan,BV1484y1K7JD,2023-03-02,2023-03-02 14:58→2023-03-02 22:16,【女流66】直播回放2023-03-03,2023-03-03 13:52,15,438,source-existing,2023-03-02-live-01|2023-03-02-live-02,整场录像跨越本日多个条目，本条目对应其中一段：2023-03-02-live-01、2023-03-02-live-02。 投稿标题写 2023-03-03，但分P 文件名录制时刻为 2023-03-02，按录制时刻记。
bili-fan-kassytan,BV1Q24y1V7BE,2023-03-03,2023-03-03 12:19→2023-03-03 14:29,【女流66】直播回放2023-03-03,2023-03-03 22:00,5,130,source-existing,2023-03-03-live-01,
bili-fan-kassytan,BV1Q24y187HV,2023-03-03,2023-03-03 19:11→2023-03-03 20:01,【女流66】直播回放2023-03-03,2023-03-03 22:39,2,50,partial-or-highlight,2023-03-03-live-01,03-03 仅 19:11—20:01 的 50 分钟尾段，已被 Zytau BV1kM4y1R7Vb 完整覆盖
bili-fan-zytau,BV1kM4y1R7Vb,2023-03-03,2023-03-03 12:16→2023-03-03 20:01,[2023-03-03 12-16-33][女流66][【今日双倍】中午12点继续卧龙正式版],2023-03-04 04:00,1,464,source-existing,2023-03-03-live-01,
bili-fan-kassytan,BV1QY4y117hX,2023-03-04,2023-03-04 12:04→2023-03-04 19:58,【女流66】直播回放2023-03-04,2023-03-05 00:27,16,473,source-existing,2023-03-04-live-01,
bili-fan-kassytan,BV1jY41167fh,2023-03-05,2023-03-05 12:07→2023-03-05 20:15,【女流66】直播回放2023-03-05,2023-03-05 22:51,16,488,source-existing,2023-03-05-live-01,
bili-fan-zytau,BV15N411c7JE,2023-03-05,2023-03-05 12:04→2023-03-05 20:15,[2023-03-05 12-04-31][女流66][【钻粉2.5倍】12点继续卧龙~~],2023-03-06 04:46,3,488,source-existing,2023-03-05-live-01,
bili-fan-kassytan,BV1zY411B7eN,2023-03-07,2023-03-07 15:12→2023-03-07 20:15,【女流66】直播回放2023-03-07,2023-03-07 22:51,10,303,source-existing,2023-03-07-live-01,
bili-fan-zytau,BV1eY4y1y7jm,2023-03-07,2023-03-07 15:07→2023-03-07 20:15,[2023-03-07 15-07-34][女流66][都让开，老六来了],2023-03-08 01:54,2,292,already-attached,2023-03-07-live-01,本轮之前已挂
bili-fan-kassytan,BV1uX4y1S78i,2023-03-08,2023-03-08 12:17→2023-03-08 19:29,【女流66】直播回放2023-03-08,2023-03-08 21:41,14,432,source-existing,2023-03-08-live-01,
bili-fan-kassytan,BV1YM411s77R,2023-03-09,2023-03-09 13:52→2023-03-09 19:49,【女流66】直播回放2023-03-09,2023-03-09 21:56,12,357,source-existing,2023-03-09-live-01,
bili-fan-zytau,BV1Po4y167W1,2023-03-09,2023-03-09 13:51→2023-03-09 19:49,[2023-03-09 13-51-19][女流66][六大侠，要立志！],2023-03-10 02:52,1,358,source-existing,2023-03-09-live-01,
bili-fan-kassytan,BV1QP411f71a,2023-03-10,2023-03-10 12:32→2023-03-10 18:24,【女流66】直播回放2023-03-10,2023-03-10 21:01,12,352,source-existing,2023-03-10-live-01,
bili-fan-zytau,BV16X4y1S7Qd,2023-03-10,2023-03-10 12:31→2023-03-10 18:24,[2023-03-10 12-31-31][女流66][六大侠，要立志！],2023-03-11 19:01,1,353,source-existing,2023-03-10-live-01,
bili-fan-kassytan,BV1yT411a7W5,2023-03-11,2023-03-11 12:27→2023-03-11 18:33,【女流66】直播回放2023-03-11,2023-03-11 20:26,12,366,source-existing,2023-03-11-live-01,
bili-fan-zytau,BV18L411y7rZ,2023-03-11,2023-03-11 12:24→2023-03-11 18:33,"[2023-03-11 12-24-12][女流66][12点来,六大侠，要立志！]",2023-03-12 02:04,2,353,source-existing,2023-03-11-live-01,
bili-fan-kassytan,BV1454y1M76m,2023-03-12,2023-03-12 12:17→2023-03-12 18:35,【女流66】直播回放2023-03-12,2023-03-12 20:49,13,378,source-existing,2023-03-12-live-01,
bili-fan-zytau,BV11k4y1h7Pz,2023-03-12,2023-03-12 12:49→2023-03-12 18:35,[2023-03-12 12-49-39][女流66][【钻粉2.5倍】六大侠，要立志！],2023-03-13 00:43,7,251,source-existing,2023-03-12-live-01,
bili-fan-kassytan,BV1bo4y1B77D,2023-03-14,2023-03-14 17:47→2023-03-14 20:48,【女流66】直播回放2023-03-14,2023-03-14 22:15,5,149,already-attached,2023-03-14-live-01,本轮之前已挂
bili-fan-zytau,BV1gx4y1K7yc,2023-03-14,2023-03-14 13:12→2023-03-14 20:48,[2023-03-14 13-12-22][女流66][156277直播间],2023-03-15 06:52,2,449,already-attached,2023-03-14-live-01,本轮之前已挂
bili-fan-kassytan,BV1jv4y1L7XN,2023-03-15,2023-03-15 12:51→2023-03-15 19:47,【女流66】直播回放2023-03-15,2023-03-15 22:10,14,415,source-existing,2023-03-15-live-01,
bili-fan-zytau,BV1u24y1u7qN,2023-03-15,2023-03-15 12:46→2023-03-15 19:47,[2023-03-15 12-46-55][女流66][156277直播间],2023-03-16 02:24,1,420,source-existing,2023-03-15-live-01,
bili-fan-kassytan,BV1mL411k7Bf,2023-03-16,2023-03-16 18:42→2023-03-16 19:10,【女流66】直播回放2023-03-16,2023-03-16 20:33,1,28,partial-or-highlight,2023-03-16-live-01,03-16 仅 18:42—19:10 的 28 分钟碎片，已被 Zytau BV1A24y1x7c9 覆盖
bili-fan-zytau,BV1A24y1x7c9,2023-03-16,2023-03-16 13:54→2023-03-16 19:10,[2023-03-16 13-54-18][女流66][156277直播间],2023-03-17 00:50,6,237,source-existing,2023-03-16-live-01,
bili-fan-kassytan,BV1nT411k7M9,2023-03-17,2023-03-17 12:05→2023-03-17 16:40,【女流66】直播回放2023-03-17,2023-03-17 19:04,9,274,source-existing,2023-03-17-live-01,
bili-fan-zytau,BV1EM4y167TY,2023-03-17,2023-03-17 12:04→2023-03-17 16:40,[2023-03-17 12-04-59][女流66][156277直播间],2023-03-18 01:40,2,258,source-existing,2023-03-17-live-01,
bili-fan-kassytan,BV1TL411d7p2,2023-03-18,2023-03-18 13:05→2023-03-18 18:08,【女流66】直播回放2023-03-18,2023-03-18 20:50,10,303,source-existing,2023-03-18-live-01,
