date,game,is_show,ac_ids,count,titles
2016-12-16,微软活动,False,3334394,1,女流-12.16-微软活动
2016-12-17,健身,True,3337282,1,女流-12.17-健身
2016-12-17,战斗方块剧场,False,3337283,1,女流-12.17-战斗方块剧场
2016-12-19,心灵砒霜,True,3343783,3341691,2,女流-12.19-心灵砒霜-弹幕版 | 女流-12.19-心灵砒霜
2016-12-21,魔兽RPG,False,3347021,1,女流-12.21-魔兽RPG
2016-12-23,猫头鹰男孩(Owlboy),False,3352127,1,女流-12.23-猫头鹰男孩(Owlboy)
2016-12-24,MC建筑大赛,False,3354442,1,女流-12.24-MC建筑大赛
2016-12-25,Xbox One S国行拆箱,True,3356095,1,女流-12.25-Xbox One S国行拆箱
2016-12-25,心灵砒霜,True,3358586,3356465,2,女流-12.25-心灵砒霜-弹幕版 | 女流-12.25-心灵砒霜
2016-12-27,猫头鹰男孩(Owlboy),False,3361334,1,女流-12.27-猫头鹰男孩(Owlboy)
2016-12-28,健身,True,3364670,1,女流-12.28-健身
2016-12-28,猫头鹰男孩(Owlboy),False,3364645,1,女流-12.28-猫头鹰男孩(Owlboy)
2016-12-30,猫头鹰男孩(Owlboy),False,3369385,1,女流-12.30-猫头鹰男孩(Owlboy)-完结
2016-12-31,聊天,True,3371728,1,女流-12.31-聊天
2017-01-01,英雄联盟之我家又爆炸啦！~,False,3373572,1,女流-1.1-英雄联盟之我家又爆炸啦！~
2017-01-02,心灵砒霜,True,3378069,3375352,2,女流-1.2-心灵砒霜-弹幕版 | 女流-1.2-心灵砒霜
2017-01-03,盛世天下·媚娘篇,False,3378212,1,女流-1.3-盛世天下·媚娘篇
2017-01-04,盛世天下·媚娘篇,False,3380641,1,女流-1.4-盛世天下·媚娘篇
2017-01-07,英雄联盟,False,3388459,1,女流-1.7-英雄联盟
2017-01-10,炒饭聊天,True,3395388,1,女流-1.10-炒饭聊天
2017-01-10,黑暗之魂3,False,3395343,1,女流-1.10-黑暗之魂3-为2周目做准备
2017-01-11,快快好起来啊！,False,3398386,1,女流-1.11-快快好起来啊！
2017-01-12,英雄联盟,False,3400771,1,女流-1.12-英雄联盟
2017-01-12,黑暗之魂3,False,3400881,1,女流-1.12-黑暗之魂3-2周目-day1
2017-01-13,A站年会,False,3403380,1,女流-1.13-A站年会
